viaje_id,inicio_viaje,estacion_origen,localidad_origen,estacion_destino,localidad_destino,duracion_min,distancia_km,tipo_bicicleta,tipo_usuario,clima,temperatura_c,precipitacion_mm,fin_de_semana
V003132,2026-02-04 17:04:30,Universidad Nacional,Teusaquillo,Galerías,Teusaquillo,10.3,1.72,Mecánica,Suscriptor,Nublado,11.8,0.0,No
V002131,2026-02-20 11:52:38,Las Nieves,Santa Fe,Centro Internacional,Santa Fe,11.8,2.25,Eléctrica,Ocasional,Nublado,14.4,0.0,No
V002737,2026-02-20 08:20:04,Parque de la 93,Chapinero,Zona G,Chapinero,16.6,4.76,Eléctrica,Suscriptor,Nublado,14.5,0.0,No
V001348,2026-05-31 19:10:43,Plaza de Bolívar,La Candelaria,Las Aguas,La Candelaria,16.8,3.15,Mecánica,Ocasional,Despejado,19.5,0.0,Sí
V001430,2026-03-23 10:47:18,Calle 72,Chapinero,Centro Internacional,Santa Fe,11.4,2.21,Mecánica,Suscriptor,Despejado,16.0,0.0,No
V000355,2026-04-07 17:52:29,Zona G,Chapinero,Universidad Javeriana,Chapinero,21.6,5.07,Mecánica,Suscriptor,Despejado,16.4,0.0,No
V002976,2026-04-01 22:12:10,Chorro de Quevedo,La Candelaria,Universidad Nacional,Teusaquillo,19.3,3.81,Mecánica,Suscriptor,Lluvia ligera,18.2,1.4,No
V001039,2026-04-14 07:41:58,Corferias,Teusaquillo,Calle 80,Barrios Unidos,8.3,1.58,Eléctrica,,Nublado,19.0,0.0,No
V002330,2026-05-04 06:43:15,Galerías,Teusaquillo,Corferias,Teusaquillo,10.1,1.35,Mecánica,Suscriptor,Despejado,17.8,0.0,No
V002660,2026-02-12 08:17:48,Museo Nacional,Santa Fe,Museo Nacional,Santa Fe,8.8,1.75,Eléctrica,Ocasional,Nublado,10.7,0.0,No
V002177,2026-03-09 07:09:03,Corferias,Teusaquillo,Plaza de Bolívar,La Candelaria,13.1,2.47,Mecánica,Suscriptor,Despejado,18.8,0.0,No
V001193,2026-05-13 12:05:53,Universidad Javeriana,Chapinero,Parque de los Hippies,Chapinero,16.4,3.62,Eléctrica,Suscriptor,Nublado,16.9,0.0,No
V003051,2026-05-09 18:37:51,Parque El Virrey Norte,Usaquén,Centro Internacional,Santa Fe,16.1,3.07,Mecánica,Ocasional,Despejado,19.1,0.0,Sí
V002406,2026-03-16 08:03:17,Parque de los Hippies,Chapinero,Calle 63,Chapinero,10.6,1.07,Mecánica,Suscriptor,Nublado,17.8,0.0,No
V000059,2026-04-21 19:29:55,Calle 72,Chapinero,Universidad Javeriana,Chapinero,24.1,6.04,Eléctrica,Suscriptor,Despejado,17.6,0.0,No
V002720,2026-03-10 23:49:07,Zona G,Chapinero,Zona G,Chapinero,5.2,1.1,Mecánica,Suscriptor,Nublado,17.7,0.0,No
V002188,2026-04-22 20:39:11,Parque de la 93,Chapinero,Zona G,Chapinero,13.0,2.18,Eléctrica,Suscriptor,Despejado,18.4,0.0,No
V002096,2026-03-12 12:38:57,Calle 72,Chapinero,Universidad Nacional,Teusaquillo,11.4,2.35,Mecánica,Suscriptor,Nublado,19.0,0.0,No
V001532,2026-04-26 17:26:59,Calle 80,Barrios Unidos,Calle 80,Barrios Unidos,5.2,0.75,Eléctrica,Ocasional,Despejado,20.0,0.0,Sí
V001847,2026-04-04 19:53:50,Calle 100,Usaquén,Calle 116,Usaquén,23.2,3.84,Mecánica,Ocasional,Despejado,17.9,0.0,Sí
V000215,2026-02-15 09:14:52,Corferias,Teusaquillo,Corferias,Teusaquillo,8.0,1.98,Eléctrica,Suscriptor,Lluvia ligera,15.4,0.2,Sí
V001716,2026-03-31 15:58:21,Parque de la 93,Chapinero,Museo Nacional,Santa Fe,23.5,3.33,Mecánica,Ocasional,Despejado,16.8,0.0,No
V001172,2026-04-18 07:01:49,Las Aguas,La Candelaria,Plaza de Bolívar,La Candelaria,13.8,2.59,Mecánica,Suscriptor,Lluvia ligera,16.9,1.1,Sí
V002495,2026-03-31 18:45:24,Chorro de Quevedo,La Candelaria,Las Nieves,Santa Fe,19.2,4.05,Mecánica,Ocasional,Despejado,14.5,0.0,No
V001555,2026-03-01 08:55:53,Parque El Virrey Norte,Usaquén,Parque Nacional,Santa Fe,12.6,2.72,Eléctrica,Suscriptor,Despejado,16.7,0.0,Sí
V002281,2026-03-02 10:33:34,Hacienda Santa Bárbara,Usaquén,Calle 116,Usaquén,13.5,3.91,Mecánica,Suscriptor,Nublado,18.1,0.0,No
V000736,2026-04-25 08:28:35,Parque El Virrey Norte,Usaquén,Calle 116,Usaquén,10.7,2.33,Eléctrica,Suscriptor,Nublado,17.6,0.0,Sí
V000721,2026-02-15 19:19:10,Parque Nacional,Santa Fe,Centro Internacional,Santa Fe,12.3,3.15,Mecánica,Ocasional,Nublado,12.2,0.0,Sí
V002426,2026-04-30 01:02:58,Parque de la 93,Chapinero,Parque de los Hippies,Chapinero,9.0,1.83,Mecánica,Suscriptor,Nublado,18.0,0.0,No
V000454,2026-04-16 23:39:52,Las Nieves,Santa Fe,Parque Nacional,Santa Fe,7.4,1.76,Eléctrica,Suscriptor,Nublado,15.8,0.0,No
V002311,2026-05-04 11:30:00,Centro Internacional,Santa Fe,Parque Nacional,Santa Fe,13.3,2.3,Eléctrica,Suscriptor,Lluvia ligera,19.3,1.8,No
V002412,2026-02-06 18:30:27,Parque El Virrey Norte,Usaquén,Museo Nacional,Santa Fe,15.3,2.32,Mecánica,Suscriptor,Despejado,16.3,0.0,No
V000885,2026-05-30 21:30:35,Universidad Nacional,Teusaquillo,Universidad Javeriana,Chapinero,19.3,4.55,Mecánica,Suscriptor,Despejado,18.7,0.0,Sí
V000214,2026-02-13 16:31:20,Unicentro,Usaquén,Parque El Virrey Norte,Usaquén,4.2,0.99,Eléctrica,Suscriptor,Nublado,14.8,0.0,No
V001705,2026-05-02 22:19:26,Parque Nacional,Santa Fe,Museo Nacional,Santa Fe,3.9,0.8,Eléctrica,Suscriptor,Lluvia ligera,17.6,1.8,Sí
V001484,2026-05-10 05:56:02,Universidades Centro,La Candelaria,Plaza de Bolívar,La Candelaria,13.4,2.3,Eléctrica,Ocasional,Despejado,14.1,0.0,Sí
V001084,2026-02-18 08:10:02,Zona G,Chapinero,Las Nieves,Santa Fe,30.5,6.64,Eléctrica,Ocasional,Nublado,15.1,0.0,No
V000342,2026-02-22 18:28:32,Calle 100,Usaquén,Calle 100,Usaquén,5.0,0.96,Mecánica,Suscriptor,Despejado,9.1,0.0,Sí
V000148,2026-05-16 09:05:08,Galerías,Teusaquillo,Galerías,Teusaquillo,3.6,0.89,Eléctrica,Suscriptor,Lluvia,21.7,7.8,Sí
V001091,2026-02-27 07:12:21,Parque de los Novios,Barrios Unidos,Simón Bolívar Norte,Barrios Unidos,9.6,1.87,Eléctrica,Ocasional,Nublado,14.8,0.0,No
V002608,2026-02-16 04:16:22,Zona G,Chapinero,Parque de la 93,Chapinero,12.3,4.05,Eléctrica,Suscriptor,Nublado,16.3,0.0,No
V001168,2026-05-18 08:25:23,Las Nieves,Santa Fe,Las Nieves,Santa Fe,6.4,0.75,Mecánica,Suscriptor,Despejado,15.9,0.0,No
V001804,2026-03-22 18:10:49,Corferias,Teusaquillo,,Usaquén,22.4,4.22,Mecánica,Suscriptor,Despejado,17.4,0.0,Sí
V000218,2026-05-29 18:38:50,Plaza de Bolívar,La Candelaria,Universidades Centro,La Candelaria,14.0,3.76,Eléctrica,Suscriptor,Nublado,13.5,0.0,No
V002419,2026-04-02 19:59:16,Parque de los Hippies,Chapinero,Universidad Javeriana,Chapinero,8.1,1.22,Eléctrica,Suscriptor,Despejado,18.9,0.0,No
V003090,2026-04-09 08:07:45,Parque de los Hippies,Chapinero,Calle 72,Chapinero,8.7,1.88,Eléctrica,Suscriptor,Despejado,15.5,0.0,No
V000453,2026-05-09 11:31:21,Museo Nacional,Santa Fe,Corferias,Teusaquillo,21.0,4.26,Mecánica,Suscriptor,Nublado,21.1,0.0,Sí
V001277,2026-04-19 01:09:10,Calle 100,Usaquén,Parque El Virrey Norte,Usaquén,21.9,4.66,Eléctrica,Suscriptor,Despejado,17.5,0.0,Sí
V001268,2026-05-19 19:06:11,Galerías,Teusaquillo,Corferias,Teusaquillo,10.4,2.1,Eléctrica,Suscriptor,Despejado,16.2,0.0,No
V001359,2026-04-08 19:07:51,Museo Nacional,Santa Fe,Las Nieves,Santa Fe,14.2,2.97,Mecánica,Suscriptor,Lluvia ligera,17.4,0.2,No
V000781,2026-04-27 08:46:44,Centro Internacional,Santa Fe,Museo Nacional,Santa Fe,10.9,2.79,Eléctrica,Suscriptor,Despejado,19.8,0.0,No
V001577,2026-03-02 11:00:40,Las Nieves,Santa Fe,Parque Nacional,Santa Fe,14.8,3.62,Eléctrica,Suscriptor,Despejado,14.6,0.0,No
V000768,2026-05-16 06:09:47,Universidad Nacional,Teusaquillo,Galerías,Teusaquillo,15.4,3.31,Eléctrica,Suscriptor,Nublado,18.7,0.0,Sí
V001708,2026-05-31 19:09:30,Las Aguas,La Candelaria,Parkway,Teusaquillo,14.2,3.39,Eléctrica,Suscriptor,Lluvia ligera,15.3,0.4,Sí
V001876,2026-02-20 01:00:43,Hacienda Santa Bárbara,Usaquén,Las Aguas,La Candelaria,12.1,1.82,Eléctrica,Suscriptor,Lluvia ligera,15.5,1.2,No
V001992,2026-04-12 09:28:41,Galerías,Teusaquillo,Galerías,Teusaquillo,5.0,0.85,Mecánica,Suscriptor,Nublado,16.9,0.0,Sí
V001559,2026-03-12 18:34:33,Simón Bolívar Sur,Teusaquillo,Parkway,Teusaquillo,12.7,3.4,Eléctrica,Ocasional,Nublado,17.9,0.0,No
V000033,2026-04-16 18:24:38,Simón Bolívar Sur,Teusaquillo,Universidad Nacional,Teusaquillo,11.6,2.33,Eléctrica,Suscriptor,Nublado,20.9,0.0,No
V002225,2026-03-13 18:11:05,Galerías,Teusaquillo,Parkway,Teusaquillo,9.6,1.91,Eléctrica,Suscriptor,Nublado,17.7,0.0,No
V002143,2026-02-17 09:19:39,Calle 80,Barrios Unidos,Parque Nacional,Santa Fe,26.5,4.74,Mecánica,Suscriptor,Lluvia,18.6,8.1,No
V002260,2026-04-11 08:56:16,Plaza de Bolívar,La Candelaria,,Chapinero,9.6,2.39,Eléctrica,Suscriptor,Despejado,19.7,0.0,Sí
V002228,2026-04-20 15:51:49,Corferias,Teusaquillo,Universidades Centro,La Candelaria,16.6,3.95,Eléctrica,Suscriptor,Nublado,19.4,0.0,No
V001217,2026-02-14 17:50:32,Zona G,Chapinero,Parque de la 93,Chapinero,10.1,2.61,Eléctrica,Ocasional,Nublado,13.3,0.0,Sí
V000627,2026-03-30 19:23:39,Calle 63,Chapinero,Parque de los Hippies,Chapinero,10.9,1.58,Mecánica,Suscriptor,Nublado,19.5,0.0,No
V000787,2026-03-18 00:31:30,Universidad Javeriana,Chapinero,Universidad Javeriana,Chapinero,15.4,2.94,Eléctrica,Suscriptor,Despejado,11.8,0.0,No
V002576,2026-04-04 19:00:11,Museo Nacional,Santa Fe,Las Nieves,Santa Fe,10.9,1.75,Mecánica,Ocasional,Lluvia,17.6,7.4,Sí
V002333,2026-04-05 19:05:51,Unicentro,Usaquén,Calle 116,Usaquén,180.0,3.62,Mecánica,Suscriptor,Nublado,,0.0,Sí
V000076,2026-02-12 01:04:40,Parque de la 93,Chapinero,Zona G,Chapinero,8.7,1.43,Eléctrica,Suscriptor,Lluvia ligera,12.3,1.2,No
V002912,2026-03-30 08:06:32,Parque de los Hippies,Chapinero,Parque de la 93,Chapinero,7.1,1.39,Eléctrica,Ocasional,Despejado,17.6,0.0,No
V001295,2026-05-11 08:41:17,Parque Nacional,Santa Fe,Museo Nacional,Santa Fe,16.0,4.05,Eléctrica,Suscriptor,Despejado,18.1,0.0,No
V002265,2026-04-08 02:01:32,Universidad Javeriana,Chapinero,Calle 80,Barrios Unidos,23.1,4.81,Eléctrica,Suscriptor,Despejado,17.3,0.0,No
V002115,2026-03-14 13:49:06,Universidad Nacional,Teusaquillo,Zona G,Chapinero,10.9,2.73,Eléctrica,Ocasional,Despejado,15.4,0.0,Sí
V001142,2026-03-08 19:39:24,Universidades Centro,La Candelaria,Universidades Centro,La Candelaria,4.5,0.99,Eléctrica,Suscriptor,Nublado,13.6,0.0,Sí
V000151,2026-05-17 08:45:04,Unicentro,Usaquén,Las Nieves,Santa Fe,12.1,1.74,Mecánica,Ocasional,Nublado,13.4,0.0,Sí
V002520,2026-03-09 06:02:53,Universidad Javeriana,Chapinero,Museo Nacional,Santa Fe,19.7,5.03,Eléctrica,Suscriptor,Lluvia,13.2,10.5,No
V003085,2026-02-15 17:31:40,Universidad Nacional,Teusaquillo,Universidad Javeriana,Chapinero,18.9,3.44,Eléctrica,Ocasional,Lluvia,14.7,3.2,Sí
V001433,2026-05-03 02:37:15,Calle 80,Barrios Unidos,Galerías,Teusaquillo,7.3,1.38,Mecánica,Suscriptor,Lluvia,13.3,8.1,Sí
V002514,2026-03-12 15:39:44,Centro Internacional,Santa Fe,Centro Internacional,Santa Fe,5.7,1.42,Mecánica,Suscriptor,Lluvia ligera,19.3,1.6,No
V000485,2026-04-17 07:21:11,Calle 63,Chapinero,Universidad Javeriana,Chapinero,10.3,2.09,Mecánica,Suscriptor,Despejado,16.5,0.0,No
V001983,2026-05-11 18:46:36,Universidad Nacional,Teusaquillo,Galerías,Teusaquillo,12.0,1.39,Eléctrica,Ocasional,Despejado,,0.0,No
V001278,2026-02-03 01:21:38,Las Nieves,Santa Fe,Parque de la 93,Chapinero,48.3,8.81,Eléctrica,Suscriptor,Despejado,13.2,0.0,No
V000839,2026-04-08 17:56:33,Las Aguas,La Candelaria,Universidades Centro,La Candelaria,16.2,3.38,Eléctrica,Ocasional,Despejado,18.2,0.0,No
V000872,2026-04-17 02:47:48,Calle 72,Chapinero,Zona G,Chapinero,10.4,1.11,Mecánica,Suscriptor,Despejado,18.9,0.0,No
V000650,2026-02-05 19:19:29,Parque Nacional,Santa Fe,Museo Nacional,Santa Fe,14.8,2.06,Mecánica,Suscriptor,Nublado,16.3,0.0,No
V001491,2026-02-26 04:47:30,Parque de los Hippies,Chapinero,Parque de los Hippies,Chapinero,7.4,1.77,Eléctrica,Suscriptor,Despejado,11.9,0.0,No
V002667,2026-02-20 10:51:37,Chorro de Quevedo,La Candelaria,Galerías,Teusaquillo,11.8,1.67,Mecánica,Ocasional,Nublado,18.1,0.0,No
V001219,2026-03-15 22:51:27,Parque de los Novios,Barrios Unidos,Calle 72,Chapinero,10.8,1.73,Mecánica,Suscriptor,Despejado,13.3,0.0,Sí
V000570,2026-04-07 19:32:53,Galerías,Teusaquillo,Simón Bolívar Sur,Teusaquillo,4.9,1.32,Eléctrica,Ocasional,Despejado,20.1,0.0,No
V000853,2026-02-14 18:14:24,Parque Nacional,Santa Fe,Centro Internacional,Santa Fe,10.5,1.61,Mecánica,Suscriptor,Nublado,13.3,0.0,Sí
V001354,2026-05-20 18:58:37,Simón Bolívar Sur,Teusaquillo,Galerías,Teusaquillo,13.3,2.29,Mecánica,Suscriptor,Lluvia ligera,15.1,1.5,No
V000518,2026-04-21 12:05:54,Corferias,Teusaquillo,Universidades Centro,La Candelaria,9.0,2.07,Eléctrica,Ocasional,Despejado,20.3,0.0,No
V002348,2026-05-17 09:10:18,Parque de los Hippies,Chapinero,Parque de los Hippies,Chapinero,6.5,1.26,Eléctrica,Suscriptor,Lluvia ligera,16.1,0.8,Sí
V001313,2026-02-26 07:06:01,Centro Internacional,Santa Fe,Universidad Javeriana,Chapinero,15.7,4.84,Eléctrica,Ocasional,Despejado,14.3,0.0,No
V002432,2026-05-10 18:16:22,Las Aguas,La Candelaria,Parque Nacional,Santa Fe,14.0,2.79,Eléctrica,Suscriptor,Lluvia,15.8,7.5,Sí
V002813,2026-04-18 19:23:19,Parque Nacional,Santa Fe,San Felipe,Barrios Unidos,16.1,3.41,Mecánica,Suscriptor,Despejado,14.6,0.0,Sí
V001443,2026-03-09 07:54:04,Las Nieves,Santa Fe,Centro Internacional,Santa Fe,25.5,5.52,Mecánica,Suscriptor,Lluvia,17.0,4.3,No
V000193,2026-04-08 08:17:56,Chorro de Quevedo,La Candelaria,Chorro de Quevedo,La Candelaria,9.5,2.06,Mecánica,Suscriptor,Despejado,15.6,0.0,No
V001135,2026-04-11 10:11:54,Parkway,Teusaquillo,Hacienda Santa Bárbara,Usaquén,7.4,1.73,Eléctrica,Suscriptor,Nublado,15.1,0.0,Sí
V001618,2026-02-24 23:45:28,Las Nieves,Santa Fe,,Santa Fe,12.5,2.91,Eléctrica,Suscriptor,Nublado,14.3,0.0,No
V002733,2026-02-05 19:37:36,Calle 100,Usaquén,Calle 116,Usaquén,6.8,1.45,Mecánica,Suscriptor,Despejado,14.4,0.0,No
V002888,2026-03-15 20:15:08,Las Aguas,La Candelaria,Universidades Centro,La Candelaria,10.5,2.21,Mecánica,Suscriptor,Despejado,16.4,0.0,Sí
V000073,2026-05-24 19:47:34,Parkway,Teusaquillo,Universidad Nacional,Teusaquillo,14.5,2.19,Mecánica,Suscriptor,Despejado,17.5,0.0,Sí
V002235,2026-02-17 17:13:30,Simón Bolívar Sur,Teusaquillo,Zona G,Chapinero,30.4,5.51,Eléctrica,Suscriptor,Nublado,18.4,0.0,No
V001777,2026-04-27 11:24:38,Centro Internacional,Santa Fe,Parkway,Teusaquillo,22.7,4.05,Mecánica,Suscriptor,Despejado,15.6,0.0,No
V000763,2026-03-19 17:16:42,Parque Nacional,Santa Fe,Las Nieves,Santa Fe,29.6,5.83,Eléctrica,Suscriptor,Lluvia ligera,17.1,0.9,No
V002961,2026-03-08 16:04:30,Zona G,Chapinero,Universidad Javeriana,Chapinero,5.6,1.22,Eléctrica,Suscriptor,Despejado,15.3,0.0,Sí
V000090,2026-05-14 17:02:32,Galerías,Teusaquillo,Simón Bolívar Sur,Teusaquillo,5.7,1.22,Eléctrica,Suscriptor,Nublado,21.3,0.0,No
V003179,2026-04-20 13:23:00,Calle 80,Barrios Unidos,Simón Bolívar Norte,Barrios Unidos,4.4,0.9,Eléctrica,Suscriptor,Lluvia,22.1,9.9,No
V000978,2026-05-21 03:00:14,Calle 116,Usaquén,Calle 63,Chapinero,12.0,2.69,Eléctrica,Ocasional,Nublado,16.9,0.0,No
V000018,2026-04-13 18:22:13,Chorro de Quevedo,La Candelaria,Zona G,Chapinero,18.8,3.98,Mecánica,Suscriptor,Despejado,20.0,0.0,No
V002932,2026-04-23 17:35:31,Parque Nacional,Santa Fe,Centro Internacional,Santa Fe,11.1,1.73,Mecánica,Suscriptor,Despejado,18.6,0.0,No
V001828,2026-04-11 18:31:05,San Felipe,Barrios Unidos,Plaza de Bolívar,La Candelaria,10.7,1.86,Mecánica,Suscriptor,Nublado,14.2,0.0,Sí
V000665,2026-04-24 08:35:31,Simón Bolívar Sur,Teusaquillo,Parkway,Teusaquillo,10.5,1.54,Mecánica,Suscriptor,Despejado,17.8,0.0,No
V002441,2026-04-08 08:12:12,Plaza de Bolívar,La Candelaria,Universidades Centro,La Candelaria,9.9,2.02,Mecánica,Suscriptor,Despejado,18.6,0.0,No
V002922,2026-03-28 17:22:56,Parkway,Teusaquillo,Galerías,Teusaquillo,19.1,3.25,Mecánica,Suscriptor,Despejado,19.1,0.0,Sí
V000116,2026-05-24 17:44:39,Calle 72,Chapinero,Zona G,Chapinero,4.8,1.24,Eléctrica,Ocasional,Lluvia,14.9,7.1,Sí
V001632,2026-05-04 19:29:26,Parkway,Teusaquillo,Simón Bolívar Sur,Teusaquillo,17.3,4.39,Mecánica,Suscriptor,Despejado,18.5,0.0,No
V000848,2026-02-19 18:00:13,Parque El Virrey Norte,Usaquén,Calle 63,Chapinero,13.0,1.94,Mecánica,Ocasional,Lluvia ligera,13.8,1.2,No
V001806,2026-04-06 14:17:00,Centro Internacional,Santa Fe,Unicentro,Usaquén,14.7,2.89,Mecánica,Suscriptor,Nublado,21.3,0.0,No
V000752,2026-04-15 18:24:55,Calle 72,Chapinero,Parque de la 93,Chapinero,8.5,1.82,Mecánica,Suscriptor,Despejado,12.9,0.0,No
V001224,2026-04-04 19:24:58,Parque Nacional,Santa Fe,Plaza de Bolívar,La Candelaria,14.7,3.62,Eléctrica,Suscriptor,Despejado,18.0,0.0,Sí
V001299,2026-02-23 18:30:43,Calle 72,Chapinero,Calle 63,Chapinero,25.5,4.5,Mecánica,Suscriptor,Despejado,14.7,0.0,No
V002204,2026-04-28 11:54:43,Simón Bolívar Norte,Barrios Unidos,San Felipe,Barrios Unidos,27.5,4.69,Mecánica,Suscriptor,Despejado,18.2,0.0,No
V000263,2026-05-19 04:07:17,Galerías,Teusaquillo,Galerías,Teusaquillo,4.9,0.8,Eléctrica,Ocasional,Despejado,16.9,0.0,No
V000525,2026-03-04 23:21:27,Parque Nacional,Santa Fe,Las Nieves,Santa Fe,27.4,6.36,Eléctrica,Suscriptor,Nublado,18.3,0.0,No
V001681,2026-03-09 22:27:02,San Felipe,Barrios Unidos,Simón Bolívar Norte,Barrios Unidos,9.8,2.11,Eléctrica,Suscriptor,Lluvia ligera,15.8,1.6,No
V000869,2026-04-16 22:21:25,Parkway,Teusaquillo,Centro Internacional,Santa Fe,15.4,2.5,Mecánica,Suscriptor,Despejado,15.1,0.0,No
V001682,2026-05-13 16:16:59,Calle 72,Chapinero,Universidad Javeriana,Chapinero,5.7,1.29,Eléctrica,Suscriptor,Lluvia,17.5,10.9,No
V000946,2026-04-24 09:11:22,Universidad Javeriana,Chapinero,Calle 63,Chapinero,23.8,4.1,Eléctrica,Ocasional,Nublado,17.9,0.0,No
V000299,2026-02-27 13:26:14,Calle 63,Chapinero,Calle 63,Chapinero,8.5,1.18,Mecánica,Suscriptor,Despejado,21.7,0.0,No
V002610,2026-03-11 08:15:27,Las Nieves,Santa Fe,Parque Nacional,Santa Fe,13.7,1.92,Eléctrica,Suscriptor,Despejado,18.7,0.0,No
V001194,2026-04-15 22:59:03,Plaza de Bolívar,La Candelaria,Museo Nacional,Santa Fe,19.6,3.2,Mecánica,Suscriptor,Lluvia ligera,16.2,0.2,No
V002381,2026-02-26 18:41:59,Las Nieves,Santa Fe,Plaza de Bolívar,La Candelaria,17.2,4.32,Eléctrica,Suscriptor,Nublado,16.7,0.0,No
V002645,2026-03-25 05:43:49,Calle 72,Chapinero,Zona G,Chapinero,29.8,5.17,Eléctrica,Ocasional,Nublado,18.7,0.0,No
V000761,2026-04-27 18:51:18,Centro Internacional,Santa Fe,Parque Nacional,Santa Fe,11.3,1.59,Mecánica,Ocasional,Despejado,17.3,0.0,No
V000513,2026-03-16 08:07:12,Galerías,Teusaquillo,Simón Bolívar Sur,Teusaquillo,9.8,2.15,Eléctrica,Ocasional,Nublado,16.3,0.0,No
V000038,2026-05-10 09:58:06,Galerías,Teusaquillo,Simón Bolívar Norte,Barrios Unidos,14.3,3.76,Eléctrica,Ocasional,Lluvia,19.2,7.2,Sí
V002567,2026-03-11 20:00:03,Hacienda Santa Bárbara,Usaquén,Parque Nacional,Santa Fe,18.5,2.74,Mecánica,Suscriptor,Lluvia ligera,12.2,1.4,No
V002693,2026-02-22 08:05:21,Las Nieves,Santa Fe,Museo Nacional,Santa Fe,14.0,2.93,Mecánica,Suscriptor,Nublado,13.5,0.0,Sí
V001471,2026-04-07 08:59:48,Universidades Centro,La Candelaria,Plaza de Bolívar,La Candelaria,16.1,3.59,Mecánica,Suscriptor,Despejado,24.5,0.0,No
V000399,2026-05-11 18:12:57,Universidad Nacional,Teusaquillo,Simón Bolívar Sur,Teusaquillo,7.2,1.44,Mecánica,Suscriptor,Lluvia ligera,17.8,1.7,No
V001611,2026-04-24 00:48:59,San Felipe,Barrios Unidos,Parkway,Teusaquillo,20.4,4.27,Mecánica,Suscriptor,Nublado,16.0,0.0,No
V001258,2026-04-11 08:23:07,Universidad Javeriana,Chapinero,Hacienda Santa Bárbara,Usaquén,11.6,1.77,Mecánica,Suscriptor,Despejado,19.2,0.0,Sí
V001325,2026-03-09 16:54:06,San Felipe,Barrios Unidos,Calle 80,Barrios Unidos,12.7,1.76,Mecánica,Suscriptor,Nublado,18.7,0.0,No
V001601,2026-02-13 20:13:03,Simón Bolívar Norte,Barrios Unidos,Simón Bolívar Norte,Barrios Unidos,14.0,2.51,Mecánica,Suscriptor,Despejado,16.3,0.0,No
V001444,2026-03-29 05:36:42,Calle 116,Usaquén,Parque Nacional,Santa Fe,18.5,,Mecánica,Suscriptor,Nublado,16.1,0.0,Sí
V003046,2026-04-16 08:18:54,Parque de la 93,Chapinero,,Chapinero,10.4,2.28,Eléctrica,Ocasional,Nublado,19.6,0.0,No
V002308,2026-05-25 18:12:52,Calle 72,Chapinero,Parque de la 93,Chapinero,14.3,3.0,Mecánica,Ocasional,Nublado,17.2,0.0,No
V000396,2026-04-02 05:59:03,Plaza de Bolívar,La Candelaria,Universidades Centro,La Candelaria,32.2,5.35,Mecánica,Suscriptor,Nublado,16.2,0.0,No
V000095,2026-04-08 18:13:43,Parque de la 93,Chapinero,Zona G,Chapinero,22.5,3.58,Mecánica,Suscriptor,Nublado,20.4,0.0,No
V000859,2026-04-10 04:39:12,Parque Nacional,Santa Fe,Corferias,Teusaquillo,25.0,,Mecánica,Ocasional,Nublado,18.8,0.0,No
V001513,2026-05-30 03:24:42,Centro Internacional,Santa Fe,Las Nieves,Santa Fe,13.5,3.91,Eléctrica,Ocasional,Lluvia ligera,19.4,0.8,Sí
V002669,2026-02-05 23:40:46,Calle 63,Chapinero,Zona G,Chapinero,7.8,1.51,Mecánica,Suscriptor,Despejado,19.3,0.0,No
V001885,2026-05-02 19:29:26,Parkway,Teusaquillo,Universidad Nacional,Teusaquillo,16.7,3.92,Eléctrica,Suscriptor,Nublado,18.3,0.0,Sí
V001181,2026-05-28 19:38:56,Museo Nacional,Santa Fe,Centro Internacional,Santa Fe,5.4,0.85,Mecánica,Suscriptor,Nublado,19.8,0.0,No
V001694,2026-02-03 23:06:05,Calle 80,Barrios Unidos,Parque de los Hippies,Chapinero,15.8,2.63,Mecánica,Suscriptor,Lluvia,13.4,4.6,No
V000010,2026-02-19 18:22:54,Parque de los Novios,Barrios Unidos,Universidad Javeriana,Chapinero,13.3,2.44,Eléctrica,Ocasional,Despejado,14.4,0.0,No
V003174,2026-03-07 07:13:33,Zona G,Chapinero,Universidad Javeriana,Chapinero,7.3,1.29,Mecánica,Suscriptor,Despejado,17.2,0.0,Sí
V001040,2026-03-31 20:20:18,Plaza de Bolívar,La Candelaria,Chorro de Quevedo,La Candelaria,9.6,1.31,Mecánica,Suscriptor,Despejado,16.7,0.0,No
V002822,2026-05-08 08:51:43,Unicentro,Usaquén,Calle 100,Usaquén,36.1,5.38,Mecánica,Suscriptor,Nublado,20.0,0.0,No
V002709,2026-03-07 18:17:41,Simón Bolívar Norte,Barrios Unidos,Parque de los Novios,Barrios Unidos,8.2,1.93,Mecánica,Suscriptor,Nublado,11.7,0.0,Sí
V001105,2026-03-05 10:22:13,Parque de la 93,Chapinero,Calle 72,Chapinero,18.4,4.3,Mecánica,Suscriptor,Despejado,18.0,0.0,No
V000197,2026-02-04 18:05:18,San Felipe,Barrios Unidos,Universidad Javeriana,Chapinero,13.4,2.35,Mecánica,Suscriptor,Despejado,16.4,0.0,No
V002245,2026-02-12 17:33:01,Centro Internacional,Santa Fe,Parque Nacional,Santa Fe,10.5,2.02,Eléctrica,Suscriptor,Lluvia,12.9,7.8,No
V000408,2026-04-02 06:36:19,Galerías,Teusaquillo,Museo Nacional,Santa Fe,11.7,2.28,Mecánica,Suscriptor,Nublado,16.3,0.0,No
V001585,2026-02-27 08:19:44,Calle 63,Chapinero,Calle 116,Usaquén,27.0,,Mecánica,Suscriptor,Despejado,14.3,0.0,No
